file_or_layer	field	unit_or_type	description
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_partial_f	logical	TRUE when partial_f == 0.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_ice_clim_f	logical	TRUE when ice_clim_f <= 0.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_xovr_cal_q	logical	TRUE when xovr_cal_q < 2.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_hampel	logical	TRUE when the Hampel flag is zero.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_node_q_b	logical	TRUE when node_q_b < 4194304.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_dark_frac	logical	TRUE when dark_frac <= 0.50.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_cross_track_distance	logical	TRUE when absolute cross-track distance is 10-60 km inclusive.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_observed_fraction	logical	TRUE when obs_frac_n > 0.50.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_prior_reach_size	logical	TRUE when prior width >=80 m and prior length >=7000 m.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_prior_wse_difference	logical	TRUE when absolute SWOT-minus-prior WSE is <10 m.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	quality_pass	logical	TRUE only when every individual WSE quality criterion passes.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	quality_pass_count_at_station	count	Number of quality-passing observations for the station/node pair.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	quality_filtered_station	logical	TRUE when that count is at least 12.
discharge_time_series.txt	pair_id	text	Stable ANA-code plus SWORD-v17b-reach key used by every file.
discharge_time_series.txt	date	ISO 8601 date	UTC calendar date used for ANA-SWOT alignment.
discharge_time_series.txt	ANA_code	text	ANA/RHN station code.
discharge_time_series.txt	SWORD_v17b_node_id	text	Matched SWORD v17b node identifier.
discharge_time_series.txt	SWORD_v17b_reach_id	text	Matched SWORD v17b reach identifier.
discharge_time_series.txt	SWORD_v16_node_id	text	SWORD v16 node identifier.
discharge_time_series.txt	SWORD_v16_reach_id	text	SWORD v16 reach identifier. It is absent for seven pairs.
discharge_time_series.txt	model	text	DAWG algorithm or consensus series.
discharge_time_series.txt	DAWG_discharge_m3_s	m3 s-1	SWOT DAWG Level-4 discharge estimate.
discharge_time_series.txt	ANA_discharge_m3_s	m3 s-1	ANA daily discharge.
discharge_time_series.txt	ANA_coincident	logical	TRUE when an ANA discharge value exists on the DAWG date.
